"SRNumber","CreatedDate","RequestType","Status","Address","Latitude","Longitude","CD","NCName"
"1-3239132831","2023-01-06T09:38:33.000","Graffiti Removal","Closed","200 W 37TH PL, 90007","34.015038208","-118.276476662","9","South Central"
"1-3239132696","2023-01-06T09:38:33.000","Graffiti Removal","Closed","3500 S BROADWAY, 90007","34.0177756237","-118.27455102","9","South Central"
"1-3239132781","2023-01-06T09:38:33.000","Graffiti Removal","Closed","3600 S BROADWAY, 90007","34.0170410108","-118.274925231","9","South Central"
"1-3239132841","2023-01-06T09:38:34.000","Graffiti Removal","Closed","3775 S BROADWAY, 90007","34.0143405882","-118.27711314","9","South Central"
"1-3239132861","2023-01-06T09:38:34.000","Graffiti Removal","Closed","103 W MARTIN LUTHER KING, JR BLVD, 90037","34.0112182624","-118.274192436","9","South Central"
"1-3239132846","2023-01-06T09:38:34.000","Graffiti Removal","Closed","100 W MARTIN LUTHER KING, JR BLVD, 90037","34.0110262746","-118.274146884","9","Zapata-King"
"1-3239132866","2023-01-06T09:38:34.000","Graffiti Removal","Closed","4000 S BROADWAY, 90037","34.0108198633","-118.278192713","9","Zapata-King"
"1-3239137151","2023-01-06T09:38:42.000","Illegal Dumping Pickup","Closed","740 W 14TH ST, 90731","33.7316346629","-118.293409733","15","Central San Pedro"
"1-3239136651","2023-01-06T09:38:57.000","Bulky Items","Closed","13068 W GLAMIS ST, 91331","34.2560740923","-118.417581775","7","Pacoima"
"1-3239141471","2023-01-06T09:39:05.000","Bulky Items","Closed","1236 W 57TH ST, 90037","33.9907398966","-118.297202662","9","Voices"
"1-3239144091","2023-01-06T09:39:10.000","Illegal Dumping Pickup","Closed","1200 W 65TH PL, 90044","33.9797275974","-118.296092656","8","Empowerment Congress Central"
"1-3239144731","2023-01-06T09:39:13.000","Bulky Items","Closed","2419 N JOHNSTON ST, 90031","34.0743786224","-118.210573051","1","Lincoln Heights"
"1-3239145551","2023-01-06T09:39:16.000","Homeless Encampment","Pending","7359 N REMMET AVE, 91303","34.2045276943","-118.60044833","3","Canoga Park"
"1-3239147341","2023-01-06T09:39:25.000","Graffiti Removal","Closed","3020 E ALTURA ST, 90031","34.0753182791","-118.209584075","1","Lincoln Heights"
"1-3239159001","2023-01-06T09:40:06.000","Bulky Items","Closed","CENTURY FRWY AT VERMONT AVE, 90044","33.928680499","-118.291577972","15","Harbor Gateway North"
"1-3239154551","2023-01-06T09:40:19.000","Bulky Items","Closed","4351 N ALLOTT AVE, 91423","34.1489836507","-118.428125863","4","Sherman Oaks"
